information,,,,,Lame cuivre,,Lame isolant,,Enclume cuivre,,Enclume isolant,,"lame de denudage 
(par jeux)"
N°,"Ref° Applicateur
TEC","Constructeur
","   Ref° TERMINAL 
Fornisseur","Ref° TERMINAL
 TEC",Ref°,Quantité,Ref°,Quantité,Ref°,Quantité,Ref°,Quantité,Quantité  
1,EQUIP449/A38C,WEIJONG/WJ-1800S,M34S75C4F2,270615860,3.0*1.4,0,2.6*1.6,0,3.2*1.4,0,2.6*1.6,0,0
2,EQUIP467/A38,WEIJONG/ 3 T,1060-16-0122,270608560,2.4*2.8,5,3.5*3.2,6,2.6*2.8,5,3.5*3.2,5,6
,,,,270608760,,,,,,,,,
3,EQUIP469/A39,WEIJONG/ 3 T,1060-16-1222,270610660,3.6*2.8,6,3.8*3.2,6,3.8*2.8,5,3.8*3.2,5,6
,,,,270610680,,,,,,,,,
4,EQUIP471/A40,WEIJONG/WJ-1800S,4250000872,270567042,3.5*2.0,2,2.6*2.5,2,3.7*2.0,2,2.6*2.5,2,1
5,EQUIP470/A41,WEIJONG/ 3 T,4250000873,270567043,3.5*2.2,3,2.6*2.6,3,3.7*2.2,3,2.6*2.6,3,3
6,EQUIP472/A42,WEIJONG/WJ-1800S,1735801-1,270621880,1.4*1.3,0,1.5*1.5,2,1.6*1.3,2,1.5*1.5,2,2
7,EQUIP468/A43,WEIJONG/ 3 T,MEC7190766,270607660,4.0*2.4,3,5.0*3.2,3,4.8*2.4,3,5.0*3.2,3,1
8,A44,WEIJONG/WJ-1800S,1060-16-0622,270610170,2.4*2.4,2,3.5*2.6R,2,2.6*2.4,2,3.5*2.6,2,2
,,,1062-16-0622,270610160,,,,,,,,,
,,,1062-16-0644,270612620,,,,,,,,,1
9,A01,LINTECH,282403-1,270567021,991460463,0,991450300 F21,0,991270248 C21,0,991270249 H21,0,
10,A01-1,MECAL,282404_1,270567011,991460463,0,991450300 H22,1,991270248 C21,1,991270249 H21,1,
11,A02,LINTECH,282110_1,923919100,LPC00029,1,LPI00021,2,LEC00027,0,LEI00021,0,
12,A02-1,MECAL,282109_1,923921000,991460629 C22,1,991450359 L21,1,991270168 C21,1,991270249 H21,1,
13,A03,LINTECH,SC16M_1S31,270567111,LPC00033 ,1,,0,LEC00032,2,,0,
,,,SM16M_1S31,270567570,,,,,,,,,
14,A04,MECAL,926882_1,270567570,991460108,0,991450110,0,991270034,0,991270035,0,
15,A05,LINTECH,08_70_1031,923922200,LPC00036,2,LPI00030,1,LEC00035,1,LEI00029,1,
16,A06,MECAL,08_50_0031,270554240,991460118,3,991450112,2,991273259,2,991270084,2,
17,A07,MECAL,68800113722,#####,991460349,1,991450313,1,991270545,0,991270546,1,
18,A08,MECAL,39_00_0077,270607530,,0,,0,,0,,0,
