Liste des applicateurs faisceaux ,,,,,,,,,,
Spécification Applicateur,,,,,Spécification du cosse,,Etat,,,
N° Outil,Site,Désignation,N° Serie,Constructeur,Référence cosse,,Statut,Remarque,,
,,,,,Constructeur,TEC ,,,,
A1,RAI,"Outil sertissage cosse SUPERSEAL 0,3 à 0,5mm²",LC00022,LINTECH,282403-1,270567021,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A1-1,RAI,,L111589,MECAL,282404-1,270567011,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A2,RAI,"Outil sertissage cosse SUPERSEAL 0,75 à 1,5mm²",LC00026,LINTECH,282110-1,923919100,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A2-1,RAI,,L111588,MECAL,282109-1,923921000,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A3,RAI,Outil sertissage cosse SOURIAU TRIM-TRIO,LC00030,LINTECH,SC16M-1S31,270567111,en service,,,
,,,,,,,,,,
,,,,,SM16M-1S31,270567081,,,,
,,,,,,,,,,
A4,RAI,Outil sertissage cosse M-N-L,L64172,MECAL,926882-1,270567570,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A5,RAI,Outil sertissage cosse molex 5194,LC00033,LINTECH,08-70-1031,923922200,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A6,RAI,Outil sertissage cosse molex 08-50-0031,L64173,MECAL,08-50-0031,270554240,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A7,RAI,Outil sertissage cosse wurth,L66287,MECAL,68800113722,,en service,Propriété RAI,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A8,RAI,"Outil sertissage cosse MINI-FIT 1,5mm²",L76398,MECAL,39-00-0077,270607530,en service,,,
,,,,,,,,,,
,,,,,39-00-0081,270607540,,,,
,,,,,,,,,,
A9,RAI,"Outil sertissage cosse 6,35",8430,MECATRACTION,MEC7190766,270607660,Hors service,New kit Mq lame isolant,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A10,RAI,"Outil sertissage cosse DEUTSCH T16 0,75mm² à 2mm²",L78444,MECAL,1062-16-0122,270608760,en service,,,
,,,,,,,,,,
,,,,,1060-16-0122,270608560,,,,
,,,,,,,,,,
