,,TABLEAU DE BORD DE PROCESSUS,,,,,,,,,,Référence : FQ040/02,
,,,,,,,,,,,,,
,,Processus : PR006 = Maintenance,,,,,Pilote : Khezami Hamza,,,,,,
,,,,,,,,,,,,,
"I1PR006 : Délai 
d’intervention",,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars
,,15.8,6,9,4.5,12,16,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Légende :

 Objectif atteint:
 
 Objectif non atteint et Seuil non dépassé:
 
 Objectif non atteint et Seuil dépassé:

NA = Non Applicable:
",,,,,,,,,,"A voir 
Moyenne (Heure de l’intervention – Heure de la Demande)",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
